identifier,title,text,ogd
78@statistisches-amt-kanton-zuerich,KRW Wähleranteil CVP [%], KRW Wähleranteil CVP [%] Wähleranteil CVP bei Kantonsratswahlen bezirke gemeinden kanton_zuerich kantonsratswahlen ogd parteien politik wahlen Politik,True
82@statistisches-amt-kanton-zuerich,NRW Wähleranteil SP [%], NRW Wähleranteil SP [%] Wähleranteil SP bei Nationalratswahlen. Hinweis: 2015 werden alle Auslandschweizer zur Stadt Zürich gezählt. bezirke gemeinden kanton_zuerich kantonsratswahlen ogd parteien politik wahlen Politik,True
281@statistisches-amt-kanton-zuerich,Wahlbeteiligung Kantonsrat [%], Wahlbeteiligung Kantonsrat [%] Gültig eingelegte Listen (Wahlzettel) dividiert durch Anzahl Wahlberechtigte bezirke gemeinden kanton_zuerich kantonsratswahlen ogd politik wahlbeteiligung wahlen Politik,True
344@statistisches-amt-kanton-zuerich,VZÄ im Sekundärsektor [Anz.]," VZÄ im Sekundärsektor [Anz.] Beschäftigung des Sekundärsektors (Bergbau, Verarbeitendes Gewerbe/Herstellung von Waren, Energie- und Wasserversorung, Baugewerbe/Bau) in Vollzeitäquivalenten. Aktuellstes Jahr provisorisch. Ab 2015 Berechnung mit neuem Modell, was in Bezug auf die VZÄ zu einem Bruch in der Zeitreihe zwischen 2014 und 2015 führt. Werte < 4 werden nicht ausgewiesen. arbeitsmarkt beschaeftigte bezirke gemeinden industrie kanton_zuerich ogd wirtschaftssektor Arbeit, Erwerb",True
143@statistisches-amt-kanton-zuerich,Bauinv. Dienstl. 5 Jahre [Fr./Einw.]," Bauinv. Dienstl. 5 Jahre [Fr./Einw.] Durchschnittliche Bauinvestitionen der letzten 5 Jahre im Bereich Dienstleistungen (Bauinv. für Büro, Verkauf und Gastgewerbe), in Franken pro Einwohner. bauinvestitionen bautaetigkeit bezirke gebaeudeart gemeinden kanton_zuerich ogd Bau- und Wohnungswesen",True
158@statistisches-amt-kanton-zuerich,Bauinvestitionen  [Fr./Einw.]," Bauinvestitionen  [Fr./Einw.] Bauinvestitionen von Bautätigkeiten mit Investitionscharakter, die einer behördlichen Bewilligung bedürfen, in Franken pro Einwohner bauinvestitionen bautaetigkeit bezirke gemeinden kanton_zuerich ogd Bau- und Wohnungswesen",True
218@statistisches-amt-kanton-zuerich,Schül. Primarschule [pro 1000 Einw.]," Schül. Primarschule [pro 1000 Einw.] Anzahl PrimarschülerInnen gemessen an der zivilrechtlichen Bevölkerung Ende Vorjahr bezirke gemeinden kanton_zuerich ogd primarschule schueler schuelerinnen schulen Bildung, Wissenschaft",True
275@statistisches-amt-kanton-zuerich,Restaurants pro 1000 Einwohner [Anz.]," Restaurants pro 1000 Einwohner [Anz.] Anzahl Restaurants, Imbissstuben, Tea-Rooms und Gelaterias inkl. Restaurants mit begrenzten Übernachtungsmöglichkeiten (2008: NOGA2008 561001 und 561002; bis 2005: NOGA2002 HA 553) gemessen an der Bevölkerungszahl Ende des Vorjahres. Bruch in der Reihe zwischen 2008 und 2011 aufgrund des Übergangs von der alten BZ-Methodik auf STATENT. Daten des aktuellsten Jahres provisorisch. bezirke gastgewerbe gemeinden kanton_zuerich ogd Industrie, Dienstleistungen",True
360@statistisches-amt-kanton-zuerich,Anteil Gewässerfläche [%]," Anteil Gewässerfläche [%] Anteil stehender und fliessender Gewässer an der Gesamtfläche ohne Zürichsee (5976 ha auf Kantonsgebiet) und Greifensee (829 ha; jeweils Punktfläche). Die Arealstatistiken werden ca. alle 10 Jahre erhoben. Die letzten vier fanden zwischen 1979-1985, 1992-1997, 2004-2009 und 2013-2018 statt. bezirke flaeche gemeinden geographie kanton_zuerich ogd Raum, Umwelt",True
94@statistisches-amt-kanton-zuerich,Geb.Vol. Industrie/Lager: Anteil [%]," Geb.Vol. Industrie/Lager: Anteil [%] Approximatives Gebäudevolumen von Industrie-, Gewerbe- und Lagerbauten bezirke gebaeude gebaeudeart gemeinden industrie kanton_zuerich ogd Bau- und Wohnungswesen",True
233@statistisches-amt-kanton-zuerich,Apotheken [Anz.], Apotheken [Anz.] Definition: Alle öffentlichen Apotheken im Kanton Zürich. Aktuellstes Jahr provisorisch. Stand: Anfangs Folgejahr. apotheken bezirke gemeinden gewerbe kanton_zuerich ogd Gesundheit,True
296@statistisches-amt-kanton-zuerich,Baulandpreis (gewichteter Median) [Fr./m2], Baulandpreis (gewichteter Median) [Fr./m2] Gewichteter Medianpreis aller Freihandverkäufe von unbebautem Land der Wohn- und Mischzone inkl. Abbruchliegenschaften. Die letzten drei Jahre sind provisorisch. Keine Angaben bei weniger als 4 Transaktionen. Weitere Infos: www.statistik.zh.ch/bodenpreise bauland bezirke bodenpreise gemeinden kanton_zuerich ogd wohnbauland Preise,True
322@statistisches-amt-kanton-zuerich,2-Personenhaushalte [Anz.], 2-Personenhaushalte [Anz.] Anzahl Zweipersonenhaushalte (Privathaushalte) bevoelkerung bezirke gemeinden haushalt-typ haushalte haushaltsgroesse kanton_zuerich ogd Bevölkerung,True
373@statistisches-amt-kanton-zuerich,Anteil 5-Personenhaushalte [%], Anteil 5-Personenhaushalte [%] Anteil Fünfpersonenhaushalte an allen Privathaushalten bevoelkerung bezirke gemeinden haushalt-typ haushalte haushaltsgroesse kanton_zuerich ogd Bevölkerung,True
374@statistisches-amt-kanton-zuerich,Anteil 6 und mehr Personenhaushalte [%], Anteil 6 und mehr Personenhaushalte [%] Anteil Haushalte mit 6 und mehr Personen an allen Privathaushalten bevoelkerung bezirke gemeinden haushalt-typ haushalte haushaltsgroesse kanton_zuerich ogd Bevölkerung,True
280@statistisches-amt-kanton-zuerich,Bevölkerung: Frauen [Pers.]," Bevölkerung: Frauen [Pers.] Einwohnerbestand Frauen nach zivilrechtlichem Wohnsitz (ab 2010 inkl. vorläufig Aufgenommene, die seit mehr als einem Jahr in der Gemeinde leben, aber ohne Wochenaufenthalter und Asylbewerber).  bevoelkerung bezirke frauenanteil gemeinden geschlecht kanton_zuerich ogd Bevölkerung",True
714@statistisches-amt-kanton-zuerich,Abstimmungsarchiv des Kantons Zürich ab 1831, Abstimmungsarchiv des Kantons Zürich ab 1831 Alle Ergebnisse der kantonalen und eidgenössischen Abstimmungen des Kantons Zürich seit 1831. abstimmungen abstimmungsergebnisse demokratie eidgenoessische_volksabstimmungen kantonale_volksabstimmungen ogd politik Politik,True
715@fachstelle-ogd-kanton-zuerich,Web Analytics der Open Government Data des Kantons Zürich auf opendata.swiss ab Februar 2018," Web Analytics der Open Government Data des Kantons Zürich auf opendata.swiss ab Februar 2018 Monatliche Nutzungsstatistiken (Anzahl Besuche) der Open Government Data (OGD) Metadatensätze von Verwaltungseinheiten und Organen des Kantons Zürich, die auf dem zentralen Katalog für offene Behördendaten opendata.swiss findbar sind. Hinweise: Ab Januar 2019 sind die Web Analytics um weitere Metadateninformationen erweitert bzw. wurden Metadatenanpassungen vorgenommen. Ab März 2021 sind die monatlichen Aktualisierungen aufgrund technischer Herausforderungen pausiert. Variabelndefinitionen: Column 'name' = dataset slug; 'issued' = first publication of dataset; 'organization_name' = publisher slug; 'organization_url' = publisher URL; 'E' up to 'AB' = thematic categories according to DCAT AP Switzerland. direktionen kanton_zuerich kantonale_verwaltung ogd Öffentliche Verwaltung und Finanzen",True
252@statistisches-amt-kanton-zuerich,Poster zu potentiellen Stolpersteinen bei Befragungen," Poster zu potentiellen Stolpersteinen bei Befragungen Die Datei enthält die Poster, die am Kaderlunch vom 20.04.2015 ausgestellt wurden. Öffentliche Verwaltung und Finanzen",False
151@statistisches-amt-kanton-zuerich,Generalisierte politische Gemeinden des Kantons Zürich," Generalisierte politische Gemeinden des Kantons Zürich Für thematische Karten und Darstellungen in kleinen Massstäben sind oft administrative Grenzen erwünscht, die einen niedrigen Detaillierungsgrad aufweisen. Die generalisierte Grenzverläufe können Sie hier beziehen. Sie stehen in den Formaten Shapefile, Geopackage und GeoJSON zur Verfügung. Es steht jeweils sowohl eine Datei ohne See als auch eine Datei mit den vier grössten Seen (Zürichsee, Greifensee, Pfäffikersee, Türlersee) zur Verfügung.  
Die Daten werden in den Schweizer Landeskoordinaten der Landesvermessung 1995 (LV95, EPSG:2056) angeboten. Karten im GeoJSON-Format werden zusätzlich im World Geodetic System 1984 (WGS84 , EPSG:4326) angeboten. administrative_grenzen gemeindegrenzen Raum, Umwelt",False
257@statistisches-amt-kanton-zuerich,Sterbezahl stabil - trotz wachsender Bevölkerung, Sterbezahl stabil - trotz wachsender Bevölkerung Eine Analyse der Zürcher Sterbestatistik bevoelkerung bevoelkerungsstatistik einwohner statistik.info sterbefaelle Bevölkerung,False
269@statistisches-amt-kanton-zuerich,Verdichtung," Verdichtung ein Rückblick, Folien zur Präsentation Bau- und Wohnungswesen Raum, Umwelt",False
270@statistisches-amt-kanton-zuerich,Zürcher Immobilienhandel, Zürcher Immobilienhandel Ein Überblick über den Markt für Wohnbauland und Immobilien bodenpreise einfamilienhaus immobilienpreise mehrfamilienhaus statistik.info stockwerkeigentum wohnbauland Bau- und Wohnungswesen Preise,False
274@statistisches-amt-kanton-zuerich,Die Handänderungsstatistik - eine Einführung," Die Handänderungsstatistik - eine Einführung Hintergrunddokument zur Handänderungsstatistik statistik.info Bau- und Wohnungswesen Raum, Umwelt",False
503@staatsarchiv-kanton-zuerich,Archivinformationssystem des Staatsarchivs des Kantons Zürich," Archivinformationssystem des Staatsarchivs des Kantons Zürich Das Staatsarchiv des Kantons Zürich führt alle seine Findmittel sukzessive im Online-Archivkatalog zusammen. Zum Erfassungsstand konsultieren Sie die im Link unten bei ""Landing Page"" hinterlegten Informationen. ogd Politik Öffentliche Verwaltung und Finanzen",True
16@statistisches-amt-kanton-zuerich,Arbeitsstätten 1995-2008," Arbeitsstätten 1995-2008 Arbeitsstätten nach Wirtschaftssektoren und -zweigen und Gebietseinheiten des Kantons Zürich auf Basis der ehemaligen Betriebszählung (BFS). unternehmensstruktur Arbeit, Erwerb",False
62@statistisches-amt-kanton-zuerich,Bevölkerung nach Konfession, Bevölkerung nach Konfession Bevölkerung nach Konfession und Gebietseinheiten des Kantons Zürich. bevoelkerung bevoelkerungsstatistik bezirke einwohner evangelisch-reformiert gemeinden juedisch kanton_zuerich katholisch konfession raumplanungsregionen Bevölkerung,False
63@statistisches-amt-kanton-zuerich,Bevölkerung nach Konfession und Kirchgemeinden," Bevölkerung nach Konfession und Kirchgemeinden Bevölkerung nach Konfession, Kirchgemeinden und Bezirken des Kantons Zürich. bevoelkerung bevoelkerungsstatistik einwohner evangelisch-reformiert katholisch kirchgemeinden konfession konfessionslos Bevölkerung",False
5@statistisches-amt-kanton-zuerich,Gemeindesteuern der Zürcher Gemeinden, Gemeindesteuern der Zürcher Gemeinden Gemeindesteuerdaten seit 2011 gemäss Finanzausgleich. finanzausgleich gemeinden gemeindesteuerfuesse steuerdaten steuerertrag steuerfuss steuerkraft steuern Öffentliche Verwaltung und Finanzen,False
91@statistisches-amt-kanton-zuerich,Natürliche Bevölkerungsbewegung: Geburten und Sterbefälle nach Heimat, Natürliche Bevölkerungsbewegung: Geburten und Sterbefälle nach Heimat Natürliche Bevölkerungsbewegung: Geburten und Sterbefälle nach Gebietseinheiten des Kantons Zürich. bevoelkerung bevoelkerungsstatistik bezirke einwohner gemeinden kanton_zuerich raumplanungsregionen Bevölkerung,False
108@statistisches-amt-kanton-zuerich,Quadratmeterpreise von unbebautem Gewerbe- und Industriebauland, Quadratmeterpreise von unbebautem Gewerbe- und Industriebauland Effektive Quadratmeterpreise und Anzahl Tranasaktionen von unbebautem Gewerbe- und Industriebauland nach Raumplanungsregionen bezirke bodenpreise kanton_zuerich raumplanungsregionen Bau- und Wohnungswesen,False
121@statistisches-amt-kanton-zuerich,Staatssteuerstatistik 1995-1999," Staatssteuerstatistik 1995-1999 Steuerstatistik auf Basis der Staatssteuer. Vermögens und Einkommensverteilung nach Altersklassen, Tarif, Geschlecht wie auch Gemeinden. einkommensverteilung kanton_zuerich steuerbares_vermoegen steuerpflichtige vermoegensverteilung Wirtschaftliche und soziale Situation der Bevölkerung",False
198@statistisches-amt-kanton-zuerich,Generalisierte Regionen des Kantons Zürich," Generalisierte Regionen des Kantons Zürich Für thematische Karten und Darstellungen in kleinen Massstäben sind oft administrative Grenzen erwünscht, die einen niedrigen Detaillierungsgrad aufweisen. Die generalisierte Grenzverläufe können Sie hier beziehen. Sie stehen in den Formaten Shapefile, Geopackage und GeoJSON zur Verfügung. Es steht jeweils sowohl eine Datei ohne See als auch eine Datei mit den vier grössten Seen (Zürichsee, Greifensee, Pfäffikersee, Türlersee) zur Verfügung.  
Die Daten werden in den Schweizer Landeskoordinaten der Landesvermessung 1995 (LV95, EPSG:2056) angeboten. Karten im GeoJSON-Format werden zusätzlich im World Geodetic System 1984 (WGS84 , EPSG:4326) angeboten. administrative_grenzen regionsgrenzen Raum, Umwelt",False
324@statistisches-amt-kanton-zuerich,Woher kommen die Studierenden unserer Hochschulen?," Woher kommen die Studierenden unserer Hochschulen? Kurzanalyse aus der Broschüre «Kanton Zürich in Zahlen» bildung eth statistik.info universitaet Bildung, Wissenschaft",False
417@statistisches-amt-kanton-zuerich,Zürcher Staatssteuerstatistik der natürlichen Personen 1999, Zürcher Staatssteuerstatistik der natürlichen Personen 1999 None statistik.info steuern Wirtschaftliche und soziale Situation der Bevölkerung,False
513@statistisches-amt-kanton-zuerich,Zuwanderung und Wohnungsmarkt," Zuwanderung und Wohnungsmarkt Die Auswirkungen der Zu- und Wegzüge  auf den Wohnungsmarkt des Kantons Zürich im Jahr 2009 bevoelkerung bevoelkerungsstatistik einwohner statistik.info Bau- und Wohnungswesen Bevölkerung Raum, Umwelt",False
517@statistisches-amt-kanton-zuerich,Siedlungswachstum auf Kosten des Kulturlandes," Siedlungswachstum auf Kosten des Kulturlandes Bodennutzungswandel im Kanton Zürich bodennutzung landschaft statistik.info Raum, Umwelt",False
551@statistisches-amt-kanton-zuerich,Öffentliche oder private Mobilität?, Öffentliche oder private Mobilität? Die Verkehrsmittelwahl der Zürcher Bevölkerung im Spiegel des Mikrozensus Verkehr 2005 mikrozensus statistik.info verkehrsverhalten Mobilität und Verkehr,False
559@statistisches-amt-kanton-zuerich,Steigende Geburtenzahlen – ein neuer Babyboom?, Steigende Geburtenzahlen – ein neuer Babyboom? None bevoelkerung bevoelkerungsstatistik einwohner fertilitaet fruchtbarkeit statistik.info Bevölkerung,False
561@statistisches-amt-kanton-zuerich,Vornamen klingen heute anders als früher," Vornamen klingen heute anders als früher Entwicklungstendenzen bei der Vornamenwahl von Zürcher Eltern 1988-2008 bevoelkerung bevoelkerungsstatistik einwohner statistik.info Kultur, Medien, Informationsgesellschaft, Sport",False
590@statistisches-amt-kanton-zuerich,Schwache Konjunktur bremst Bevölkerungswachstum im Kanton Zürich, Schwache Konjunktur bremst Bevölkerungswachstum im Kanton Zürich None bevoelkerung bevoelkerungsstatistik einwohner statistik.info Bevölkerung Volkswirtschaft,False
591@statistisches-amt-kanton-zuerich,Familienarmut: Bedarfsleistungen für Familien und Jugendliche stagnieren, Familienarmut: Bedarfsleistungen für Familien und Jugendliche stagnieren None alimentenbevorschussung betreuungsbeitraege bevoelkerung bevoelkerungsstatistik einwohner sozialhilfe statistik.info Soziale Sicherheit,False
606@statistisches-amt-kanton-zuerich,Wie viele Wähler haben die Parteien, Wie viele Wähler haben die Parteien Analyse der Nationalratswahlen 2011 demokratie politik statistik.info Politik,False
614@statistisches-amt-kanton-zuerich,"""No Billag"", Neue Finanzordnung 2021 und Lehrplan vors Volk"," ""No Billag"", Neue Finanzordnung 2021 und Lehrplan vors Volk Eine Analyse der Abstimmungen vom 4.3.2018 abstimmungen demokratie politik statistik.info Politik",False
627@statistisches-amt-kanton-zuerich,Ein Abstimmungstermin für Profis, Ein Abstimmungstermin für Profis Eine Analyse der Zürcher Gemeinderesultate der Abstimmungen vom 4.9.2011 abstimmungen demokratie politik statistik.info Politik,False
629@statistisches-amt-kanton-zuerich,Zentrale Lagen begehrt," Zentrale Lagen begehrt Die Bodenpreis-Statistik des Kantons Zürich im Jahr 2010 bodenpreise immobilienhandel landpreise statistik.info wohnbauland Bau- und Wohnungswesen Preise Raum, Umwelt",False
632@statistisches-amt-kanton-zuerich,Vernetzte Gemeinden - Zweckverbände als Kernstück interkommunaler Zusammenarbeit, Vernetzte Gemeinden - Zweckverbände als Kernstück interkommunaler Zusammenarbeit None statistik.info Politik,False
639@statistisches-amt-kanton-zuerich,Sicheres Wohnen im Alter und Jugendmusik, Sicheres Wohnen im Alter und Jugendmusik Eine Analyse der Zürcher Resultate der Abstimmungen vom 23.9.2012 abstimmungen demokratie politik statistik.info Politik,False
641@statistisches-amt-kanton-zuerich,Zuwanderung und Gemeindefinanzen, Zuwanderung und Gemeindefinanzen None bevoelkerung bevoelkerungsstatistik einwohner statistik.info Öffentliche Verwaltung und Finanzen,False
430@statistisches-amt-kanton-zuerich,Volkszählung 2000 – die Region Zürich wächst, Volkszählung 2000 – die Region Zürich wächst None bevoelkerung statistik.info Bevölkerung,False
431@statistisches-amt-kanton-zuerich,Volkszählung 2000 – halb Zürich ist umgezogen, Volkszählung 2000 – halb Zürich ist umgezogen Kurzanalyse aus der Broschüre «Kanton Zürich in Zahlen» bevoelkerung statistik.info wegzuege zuzuege Bevölkerung,False
452@statistisches-amt-kanton-zuerich,Die Verkehrsmittel der Pendler im Zürcher Wirtschaftsraum, Die Verkehrsmittel der Pendler im Zürcher Wirtschaftsraum Eine Analyse der Pendlerstatistik der Volkszählungen 1970-2000 statistik.info Mobilität und Verkehr,False
453@statistisches-amt-kanton-zuerich,Branchenentwicklung im Zürcher Wirtschaftsraum.," Branchenentwicklung im Zürcher Wirtschaftsraum. Regionaler Strukturwandel 1995 bis 2001 abstimmungen politik statistik.info Industrie, Dienstleistungen Raum, Umwelt Volkswirtschaft",False
456@statistisches-amt-kanton-zuerich,"Autos im Kanton Zürich: Stärker, geräumiger und etwas älter als vor fünf Jahren"," Autos im Kanton Zürich: Stärker, geräumiger und etwas älter als vor fünf Jahren None personenwagen statistik.info Mobilität und Verkehr",False
491@statistisches-amt-kanton-zuerich,Strukturatlas des Kantons Zürich," Strukturatlas des Kantons Zürich Umgebungskarten aus der Statistik statistik.info Raum, Umwelt",False
496@statistisches-amt-kanton-zuerich,Robuste Finanzlage der Zürcher Gemeinden im Jahr 2008. Lagebeurteilung und Entwicklung seit 1986, Robuste Finanzlage der Zürcher Gemeinden im Jahr 2008. Lagebeurteilung und Entwicklung seit 1986 None gemeindefinanzen statistik.info Öffentliche Verwaltung und Finanzen,False
687@statistisches-amt-kanton-zuerich,Neuzulassungen  Hybridantrieb [%]," Neuzulassungen  Hybridantrieb [%] Anteil der Personenwagen (PW) mit Hybridantrieb an allen Personenwagen, die zwischen dem 1. Oktober des Vorjahrs und dem 30. September erstmals in Verkehr gesetzt wurden; Hybridantrieb meint dabei alle Kombinationen von Elektro- und Verbrennungsmotor. Hinweis: Der Wert für den ganzen Kanton umfasst alle Autos mit einem Zürcher Kennzeichen; diese können auch Personen oder Unternehmen gehören, die ihr Domizil nicht im Kanton Zürich haben. bezirke fahrzeuge gemeinden kanton_zuerich motorfahrzeugbestand motorfahrzeuge ogd personenwagen Mobilität und Verkehr",True
686@statistisches-amt-kanton-zuerich,Neuzulassungen  Dieselmotor [%]," Neuzulassungen  Dieselmotor [%] Anteil der Personenwagen (PW) mit Dieselmotor an allen Personenwagen, die zwischen dem 1. Oktober des Vorjahrs und dem 30. September erstmals in Verkehr gesetzt wurden. Hinweis: Der Wert für den ganzen Kanton umfasst alle Autos mit einem Zürcher Kennzeichen; diese können auch Personen oder Unternehmen gehören, die ihr Domizil nicht im Kanton Zürich haben. bezirke fahrzeuge gemeinden kanton_zuerich motorfahrzeugbestand motorfahrzeuge ogd personenwagen Mobilität und Verkehr",True
712@staatsarchiv-kanton-zuerich,Erlasse der Zürcher Gesetzessammlung ab 1803," Erlasse der Zürcher Gesetzessammlung ab 1803 Sämtliche Erlasse der Zürcher Gesetzessammlung von 1803 bis 1998. Umgesetzt als XML Dateien nach Vorgaben der TEI. Die Daten stehen unter einer Creative Commons CC-BY-SA 4.0 Lizenz zur Verfügung. ogd regierungsrat Bau- und Wohnungswesen Bildung, Wissenschaft Energie Industrie, Dienstleistungen Kriminalität, Strafrecht Kultur, Medien, Informationsgesellschaft, Sport Land- und Forstwirtschaft Mobilität und Verkehr Politik Soziale Sicherheit Öffentliche Verwaltung und Finanzen",True
734@statistisches-amt-kanton-zuerich,Echtzeitdaten am Abstimmungstag des Kantons Zürich – kommunale und regionale Vorlagen," Echtzeitdaten am Abstimmungstag des Kantons Zürich – kommunale und regionale Vorlagen Echtzeitdaten zu den an eidgenössischen Abstimmungsterminen im Kanton Zürich stattfindenden kommunalen und regionalen Volksabstimmungen. Es werden nur diejenigen Geschäfte angezeigt, die von den verantwortlichen Gemeinden erfasst werden.
Die aktuelle Resource wird im Vorfeld des Urnengangs täglich aktualisiert, am Abstimmungstag, ab der Schliessung der letzten Urnen um 12 Uhr, dann alle zehn Minuten. abstimmungen abstimmungsergebnisse demokratie gemeinden ogd politik Politik",True
178@statistisches-amt-kanton-zuerich,Landwirtschaftliche Nutzfläche [ha], Landwirtschaftliche Nutzfläche [ha] Landwirtschaftliche Nutzfläche gemäss landwirtschaftlicher Betriebszählung bezirke flaeche gemeinden kanton_zuerich landwirtschaft nutzflaeche ogd Land- und Forstwirtschaft,True
187@statistisches-amt-kanton-zuerich,Reingewinn juristische Personen [Mio.Fr.], Reingewinn juristische Personen [Mio.Fr.] Reingewinn (ehem. Ertrag) steuerpflichtiger juristischer Personen. Hinweis: Sehr hohe Beträge einiger weniger Steuerpflichtigen wirken sich entsprechend stark auf den Mittelwert aus. bezirke gemeinden juristische_personen kanton_zuerich ogd reingewinn Öffentliche Verwaltung und Finanzen,True
188@statistisches-amt-kanton-zuerich,Eigenkapital steuerpfl. jur. Pers. [Mio.Fr.], Eigenkapital steuerpfl. jur. Pers. [Mio.Fr.] Eigenkapital (ehem. Kapital) steuerpflichtiger juristischer Personen bezirke eigenkapital gemeinden juristische_personen kanton_zuerich ogd Öffentliche Verwaltung und Finanzen,True
22@statistisches-amt-kanton-zuerich,Anteil Pol./Schulgem. an allg. Gemeindesteuern [%], Anteil Pol./Schulgem. an allg. Gemeindesteuern [%] Anteil der politischen / Schulgemeinde an den allg. Gemeindesteuern (Nettoertrag Rechnungsjahr). bezirke gemeindefinanzen gemeinden gemeindesteuern kanton_zuerich ogd schulgemeinden steuern Öffentliche Verwaltung und Finanzen,True
213@statistisches-amt-kanton-zuerich,Geburtenüberschuss 5-J.-mittel [pro 1000 Einw.]," Geburtenüberschuss 5-J.-mittel [pro 1000 Einw.] Geburten minus Sterbefälle, pro 1000 Einw. im Fünfjahresmittel. Beispiel: Die Zahl von 2003 entspricht dem Mittelwert der Geburten minus der Sterbefälle von 1999-2003 in Bezug auf die Einwohnerzahl von 1998.
 bevoelkerung bevoelkerungsbewegungen bezirke geburten gemeinden kanton_zuerich ogd Bevölkerung",True
116@statistisches-amt-kanton-zuerich,Verkäufe von unbebautem Land [Anz.]," Verkäufe von unbebautem Land [Anz.] Freihandverkäufe von unbebautem Land der Wohn- und Mischzone (Zentrums-, Kern- und Wohn/Gewerbezonen) inkl. Abbruchliegenschaften. Die letzten drei Jahre sind provisorisch. Weitere Infos: www.statistik.zh.ch/bodenpreise bauland bezirke freihandverkaeufe gemeinden handaenderungen kanton_zuerich ogd wohnbauland Preise",True
